TSN
ZBH
ON
SMLR
TSLA
IP
IBIT
FBTC
NNOX
AAPL
LYB
BRKB
SBUX
ALB
JBTM
MASI
CE
AAP
RBLX
NFLX
CVX
ARM
FMC
DVN
SWK
CMG
NXPI
AI
RH
CAG
CLF
WH
AMZN
CTRA
NKE
WSM
XYZ
MU
INSP
HOLX
D
CRSP
DD
EL
TSM
KMI
CEG
NUE
FRT
SCI
NVDA
NVCR
BMY
GPC
AVGO
RTX
PLTR
AIQUY
TXN
ABBV
MDT
MSD
APD
NEE
KLAC
PEP
MELI
JNJ
SHOP
DKNG
ADM
ZBRA
VZ
AMGN
MRVL
AEP
WEC
TER
HD
HRL
DPZ
TMUS
BSX
PAXS
PG
LRCX
AES
MCHP
EXPD
DUK
ASML
XDTE
LOW
HLT
KEYS
YUM
JD
GPIQ
SPOT
QRVO
BLDR
ADI
UPS
KLIC
DIS
ITW
JCI
ORCL
GGG
GPIX
FDX
SNA
CRM
TD
DHI
MKC
PFFA
CHRW
AVAV
SPYI
H
TCEHY
SYK
SYNA
CPNG
GS
IDXX
BKNG
LIN
PATH
PHM
SPG
SO
PNR
DOCS
AXON
ANET
LHX
DOV
CSX
THO
ABT
MS
ECL
URI
LMT
ELF
JEPQ
HUM
DXCM
ZTS
RSG
CP
KKR
DMTKQ
AZO
DIVO
XEL
OTIS
NSC
MDLZ
GD
CPRT
CBRE
KO
CARR
MSCI
UNP
HWM
AMAT
TDY
BK
TRV
JEPI
EPR
CLH
QCOM
ANSS
TKR
LEN
TMO
SRE
AIPI
BA
SWKS
MAR
JBHT
HUBB
HON
VTR
DE
MCI
SE
FFIV
TYL
CAT
CB
VRSK
VNQ
JBBB
META
PH
NOC
PSA
PPG
BLK
AZEK
CTAS
PLD
PODD
LDOS
EMR
WM
MSFT
JPM
AWK
POOL
MCO
LKQ
BX
WELL
BIDU
WCC
A
TOL
BWA
U
SCHW
CL
VEEV
DGX
LLY
EFX
AMT
WCN
MTB
CME
LH
DHR
CACI
BAC
TJX
COST
LULU
KDP
HBAN
REGN
PAYX
CI
GOOGL
TFC
O
BR
ADBE
SXT
ISRG
TTC
CAVA
ADP
TT
SNOW
JHX
EME
ULTA
NOW
NSRGY
PINS
IR
ELV
SPGI
CHD
CDNS
WMT
V
CPAY
ROK
FI
CNC
SAN
WDAY
ICE
MCD
MA
MANH
WFC
RDNT
FAST
WAT
STZ
PAYC
TOST
FOUR
CMI
NET
TSCO
SHW
IOT
HSY
EQIX
ROST
LSCC
DVA
ADSK
ACN
FITB
BSY
KMB
ABNB
BABA
FHN
TW
SYF
ESTC
CTSH
OSK
DLR
ROL
TTWO
MGA
BILL
PANW
AXP
LUV
UMC
AER
HUBS
ZS
WING
MDB
INTU
UBER
UNH
SNPS
TEAM
NICE
CHWY
OKTA
DIDIY
BJ
TDG
TMDX
PEGA
JMIA
EA
DG
AMD
CBOE
WYNN
PYPL
GNRC
FICO
RDDT
TEX
EXPE
AGCO
ETSY
TTD
PVH
